OHLCData{timestamp=2021-01-22T18:00, open=137.97, high=138.17, low=137.75, close=138.025, volume=51980.0}
OHLCData{timestamp=2021-01-22T18:30, open=138.005, high=138.3, low=137.88, close=137.99, volume=55541.0}
OHLCData{timestamp=2021-01-22T19:00, open=138.015, high=138.475, low=137.885, close=138.425, volume=64891.0}
OHLCData{timestamp=2021-01-22T19:30, open=138.445, high=139.18, low=138.39, close=139.07, volume=113478.0}
OHLCData{timestamp=2021-01-22T20:00, open=139.1, high=139.41, low=138.64, close=139.365, volume=169740.0}
OHLCData{timestamp=2021-01-22T20:30, open=139.36, high=139.845, low=139.04, close=139.05, volume=260131.0}
OHLCData{timestamp=2021-01-25T13:00, open=142.8, high=143.08, low=142.8, close=142.87, volume=1904.0}
OHLCData{timestamp=2021-01-25T13:30, open=142.84, high=142.88, low=142.64, close=142.76, volume=2108.0}
OHLCData{timestamp=2021-01-25T14:00, open=142.56, high=143.18, low=142.52, close=143.02, volume=4052.0}
OHLCData{timestamp=2021-01-25T14:30, open=143.0, high=145.04, low=142.95, close=144.93, volume=520571.0}
OHLCData{timestamp=2021-01-25T15:00, open=144.935, high=144.975, low=143.89, close=144.23, volume=189086.0}
OHLCData{timestamp=2021-01-25T15:30, open=144.245, high=144.32, low=140.9, close=141.08, volume=232993.0}
OHLCData{timestamp=2021-01-25T16:00, open=140.98, high=141.89, low=136.55, close=141.22, volume=305487.0}
OHLCData{timestamp=2021-01-25T16:30, open=141.295, high=142.75, low=141.19, close=142.555, volume=85821.0}
OHLCData{timestamp=2021-01-25T17:00, open=142.62, high=142.945, low=140.93, close=141.165, volume=91119.0}
OHLCData{timestamp=2021-01-25T17:30, open=141.19, high=142.79, low=141.05, close=142.4, volume=55639.0}
OHLCData{timestamp=2021-01-25T18:00, open=142.48, high=143.29, low=142.175, close=143.005, volume=63780.0}
OHLCData{timestamp=2021-01-25T18:30, open=143.02, high=143.09, low=142.36, close=142.67, volume=57496.0}
OHLCData{timestamp=2021-01-25T19:00, open=142.62, high=142.82, low=141.8, close=142.59, volume=40528.0}
OHLCData{timestamp=2021-01-25T19:30, open=142.57, high=142.98, low=142.47, close=142.67, volume=56649.0}
OHLCData{timestamp=2021-01-25T20:00, open=142.75, high=142.75, low=141.755, close=142.07, volume=101597.0}
OHLCData{timestamp=2021-01-25T20:30, open=142.065, high=143.13, low=141.995, close=142.92, volume=147862.0}
OHLCData{timestamp=2021-01-25T21:00, open=143.47, high=143.47, low=143.47, close=143.47, volume=251.0}
OHLCData{timestamp=2021-01-26T13:00, open=143.24, high=143.32, low=143.12, close=143.32, volume=500.0}
OHLCData{timestamp=2021-01-26T13:30, open=143.22, high=143.22, low=143.22, close=143.22, volume=100.0}
OHLCData{timestamp=2021-01-26T14:00, open=143.38, high=143.66, low=143.26, close=143.62, volume=800.0}
OHLCData{timestamp=2021-01-26T14:30, open=143.54, high=144.3, low=141.415, close=143.07, volume=235989.0}
OHLCData{timestamp=2021-01-26T15:00, open=143.075, high=143.205, low=141.9, close=142.21, volume=147944.0}
OHLCData{timestamp=2021-01-26T15:30, open=142.22, high=142.67, low=141.92, close=142.62, volume=111187.0}
OHLCData{timestamp=2021-01-26T16:00, open=142.69, high=143.16, low=142.25, close=142.32, volume=77199.0}
OHLCData{timestamp=2021-01-26T16:30, open=142.29, high=142.43, low=141.85, close=141.885, volume=99777.0}
OHLCData{timestamp=2021-01-26T17:00, open=141.98, high=142.44, low=141.93, close=142.405, volume=51176.0}
OHLCData{timestamp=2021-01-26T17:30, open=142.4, high=142.4, low=141.95, close=142.18, volume=65122.0}
OHLCData{timestamp=2021-01-26T18:00, open=142.195, high=142.65, low=142.05, close=142.5, volume=49486.0}
OHLCData{timestamp=2021-01-26T18:30, open=142.5, high=143.2, low=142.5, close=142.985, volume=49354.0}
OHLCData{timestamp=2021-01-26T19:00, open=142.98, high=143.33, low=142.795, close=142.975, volume=61299.0}
OHLCData{timestamp=2021-01-26T19:30, open=142.975, high=143.105, low=142.65, close=142.92, volume=57228.0}
OHLCData{timestamp=2021-01-26T20:00, open=142.91, high=143.115, low=142.79, close=143.06, volume=73899.0}
OHLCData{timestamp=2021-01-26T20:30, open=143.095, high=143.315, low=142.895, close=143.3, volume=158141.0}
