OHLCData{timestamp=2020-11-25T05:00, open=112.850, high=114.040, low=112.530, close=113.330, volume=948767.0}
OHLCData{timestamp=2020-11-27T05:00, open=113.860, high=114.750, low=113.530, close=113.890, volume=577016.0}
OHLCData{timestamp=2020-11-30T05:00, open=114.150, high=118.170, low=114.110, close=116.760, volume=2431583.0}
OHLCData{timestamp=2020-12-01T05:00, open=118.200, high=120.600, low=117.240, close=119.840, volume=1541852.0}
OHLCData{timestamp=2020-12-02T05:00, open=119.200, high=120.510, low=118.100, close=120.190, volume=1368044.0}
OHLCData{timestamp=2020-12-03T05:00, open=120.650, high=120.910, low=119.390, close=119.900, volume=1193044.0}
OHLCData{timestamp=2020-12-04T05:00, open=119.760, high=120.010, low=118.700, close=119.420, volume=1332869.0}
OHLCData{timestamp=2020-12-07T05:00, open=119.520, high=121.680, low=119.430, close=120.880, volume=1291978.0}
OHLCData{timestamp=2020-12-08T05:00, open=121.490, high=122.080, low=120.250, close=121.540, volume=1115979.0}
OHLCData{timestamp=2020-12-09T05:00, open=121.600, high=123.030, low=118.190, close=118.920, volume=1836800.0}
OHLCData{timestamp=2020-12-10T05:00, open=117.700, high=120.970, low=117.410, close=120.460, volume=862214.0}
OHLCData{timestamp=2020-12-11T05:00, open=119.410, high=119.910, low=117.760, close=119.570, volume=988882.0}
OHLCData{timestamp=2020-12-14T05:00, open=119.750, high=120.460, low=118.890, close=118.900, volume=771999.0}
OHLCData{timestamp=2020-12-15T05:00, open=121.460, high=124.930, low=121.250, close=124.930, volume=1901342.0}
OHLCData{timestamp=2020-12-16T05:00, open=124.460, high=125.380, low=123.630, close=124.770, volume=1615095.0}
OHLCData{timestamp=2020-12-17T05:00, open=125.910, high=126.560, low=125.110, close=125.630, volume=1062008.0}
OHLCData{timestamp=2020-12-18T05:00, open=125.970, high=126.100, low=123.210, close=123.990, volume=1444927.0}
OHLCData{timestamp=2020-12-21T05:00, open=122.150, high=125.330, low=120.590, close=125.120, volume=1160475.0}
OHLCData{timestamp=2020-12-22T05:00, open=128.600, high=131.280, low=126.670, close=128.820, volume=2201284.0}
OHLCData{timestamp=2020-12-23T05:00, open=129.090, high=129.340, low=127.760, close=128.000, volume=887108.0}
OHLCData{timestamp=2020-12-24T05:00, open=128.310, high=130.350, low=128.090, close=128.930, volume=356460.0}
OHLCData{timestamp=2020-12-28T05:00, open=130.900, high=134.150, low=130.430, close=133.550, volume=1176806.0}
OHLCData{timestamp=2020-12-29T05:00, open=134.860, high=135.560, low=131.230, close=131.780, volume=1632202.0}
OHLCData{timestamp=2020-12-30T05:00, open=132.480, high=132.830, low=130.310, close=130.660, volume=996770.0}
OHLCData{timestamp=2020-12-31T05:00, open=130.930, high=131.620, low=128.670, close=129.570, volume=1079999.0}
OHLCData{timestamp=2021-01-04T05:00, open=130.420, high=130.490, low=123.880, close=126.580, volume=1549553.0}
OHLCData{timestamp=2021-01-05T05:00, open=125.970, high=128.680, low=125.480, close=127.930, volume=804637.0}
OHLCData{timestamp=2021-01-06T05:00, open=124.610, high=128.000, low=123.480, close=123.760, volume=2202534.0}
OHLCData{timestamp=2021-01-07T05:00, open=125.390, high=128.570, low=124.920, close=127.850, volume=1440239.0}
OHLCData{timestamp=2021-01-08T05:00, open=129.330, high=129.540, low=127.230, close=129.080, volume=1340001.0}
OHLCData{timestamp=2021-01-11T05:00, open=126.230, high=127.090, low=125.520, close=125.950, volume=1168071.0}
OHLCData{timestamp=2021-01-12T05:00, open=125.450, high=126.680, low=123.970, close=125.890, volume=810812.0}
OHLCData{timestamp=2021-01-13T05:00, open=125.710, high=128.390, low=125.520, close=127.990, volume=1341043.0}
OHLCData{timestamp=2021-01-14T05:00, open=127.740, high=127.950, low=125.810, close=126.110, volume=969718.0}
OHLCData{timestamp=2021-01-15T05:00, open=125.690, high=127.180, low=124.060, close=124.370, volume=1159284.0}
OHLCData{timestamp=2021-01-19T05:00, open=124.790, high=125.710, low=124.010, close=124.810, volume=1051940.0}
OHLCData{timestamp=2021-01-20T05:00, open=125.580, high=129.420, low=125.580, close=128.950, volume=957072.0}
OHLCData{timestamp=2021-01-21T05:00, open=130.690, high=134.150, low=130.490, close=133.640, volume=1994077.0}
OHLCData{timestamp=2021-01-22T05:00, open=133.120, high=136.600, low=131.890, close=135.830, volume=1820717.0}
OHLCData{timestamp=2021-01-25T05:00, open=139.680, high=141.680, low=133.380, close=139.610, volume=1957404.0}
OHLCData{timestamp=2021-01-26T05:00, open=140.210, high=140.950, low=138.140, close=139.980, volume=1242288.0}
OHLCData{timestamp=2021-01-27T05:00, open=140.080, high=140.910, low=137.250, close=138.730, volume=1965025.0}
OHLCData{timestamp=2021-01-28T05:00, open=136.280, high=138.690, low=133.550, close=133.550, volume=2645618.0}
OHLCData{timestamp=2021-01-29T05:00, open=132.730, high=133.540, low=127.210, close=128.720, volume=2609717.0}
OHLCData{timestamp=2021-02-01T05:00, open=130.570, high=132.240, low=127.920, close=130.950, volume=1385761.0}
OHLCData{timestamp=2021-02-02T05:00, open=132.600, high=133.130, low=131.500, close=131.830, volume=1357724.0}
OHLCData{timestamp=2021-02-03T05:00, open=132.490, high=132.490, low=130.540, close=130.900, volume=1448643.0}
OHLCData{timestamp=2021-02-04T05:00, open=133.170, high=134.200, low=131.480, close=134.200, volume=1095376.0}
OHLCData{timestamp=2021-02-05T05:00, open=134.380, high=134.420, low=132.920, close=133.840, volume=947893.0}
OHLCData{timestamp=2021-02-08T05:00, open=133.070, high=133.950, low=132.000, close=133.950, volume=848472.0}
OHLCData{timestamp=2021-02-09T05:00, open=133.630, high=134.880, low=132.910, close=133.090, volume=1014228.0}
OHLCData{timestamp=2021-02-10T05:00, open=133.510, high=133.990, low=131.530, close=132.440, volume=872788.0}
OHLCData{timestamp=2021-02-11T05:00, open=132.930, high=133.410, low=130.880, close=132.300, volume=1207274.0}
OHLCData{timestamp=2021-02-12T05:00, open=131.380, high=132.570, low=130.820, close=132.480, volume=877300.0}
OHLCData{timestamp=2021-02-16T05:00, open=132.550, high=133.050, low=129.940, close=130.320, volume=1365710.0}
OHLCData{timestamp=2021-02-17T05:00, open=128.420, high=129.340, low=126.690, close=128.040, volume=1416967.0}
OHLCData{timestamp=2021-02-18T05:00, open=126.430, high=127.170, low=124.670, close=126.830, volume=1831522.0}
OHLCData{timestamp=2021-02-19T05:00, open=127.350, high=127.860, low=126.030, close=127.000, volume=1186837.0}
OHLCData{timestamp=2021-02-22T05:00, open=125.240, high=126.790, low=122.870, close=123.270, volume=1874997.0}
OHLCData{timestamp=2021-02-23T05:00, open=121.060, high=123.940, low=115.860, close=122.970, volume=3008728.0}
OHLCData{timestamp=2021-02-24T05:00, open=122.050, high=122.820, low=119.570, close=122.750, volume=1940164.0}
OHLCData{timestamp=2021-02-25T05:00, open=121.910, high=123.700, low=117.940, close=118.370, volume=2152710.0}
OHLCData{timestamp=2021-02-26T05:00, open=119.900, high=122.120, low=118.660, close=118.670, volume=2162991.0}
OHLCData{timestamp=2021-03-01T05:00, open=121.060, high=125.150, low=120.170, close=125.050, volume=2395403.0}
OHLCData{timestamp=2021-03-02T05:00, open=125.560, high=125.910, low=122.310, close=122.470, volume=1464863.0}
OHLCData{timestamp=2021-03-03T05:00, open=122.050, high=122.960, low=119.230, close=119.450, volume=1716724.0}
OHLCData{timestamp=2021-03-04T05:00, open=119.110, high=120.870, low=116.050, close=117.510, volume=2622551.0}
OHLCData{timestamp=2021-03-05T05:00, open=118.330, high=119.280, low=115.020, close=118.590, volume=3170405.0}
OHLCData{timestamp=2021-03-08T05:00, open=118.310, high=118.370, low=113.690, close=113.700, volume=3022020.0}
OHLCData{timestamp=2021-03-09T05:00, open=116.480, high=119.390, low=116.220, close=118.300, volume=2461524.0}
OHLCData{timestamp=2021-03-10T05:00, open=119.000, high=119.520, low=116.860, close=117.360, volume=2111001.0}
OHLCData{timestamp=2021-03-11T05:00, open=119.660, high=120.500, low=118.630, close=119.240, volume=2065491.0}
OHLCData{timestamp=2021-03-12T05:00, open=117.750, high=118.530, low=116.580, close=118.310, volume=1401592.0}
OHLCData{timestamp=2021-03-15T04:00, open=118.770, high=121.310, low=117.880, close=121.190, volume=930289.0}
OHLCData{timestamp=2021-03-16T04:00, open=122.970, high=124.450, low=122.010, close=122.930, volume=2196895.0}
OHLCData{timestamp=2021-03-17T04:00, open=121.380, high=123.120, low=119.690, close=121.950, volume=1807218.0}
OHLCData{timestamp=2021-03-18T04:00, open=120.190, high=120.500, low=117.710, close=117.940, volume=2073599.0}
OHLCData{timestamp=2021-03-19T04:00, open=117.310, high=118.760, low=117.080, close=117.310, volume=2166289.0}
OHLCData{timestamp=2021-03-22T04:00, open=117.740, high=121.170, low=117.710, close=120.740, volume=2035812.0}
OHLCData{timestamp=2021-03-23T04:00, open=120.610, high=121.530, low=119.500, close=119.930, volume=1753588.0}
OHLCData{timestamp=2021-03-24T04:00, open=120.200, high=120.220, low=117.500, close=117.500, volume=2449761.0}
OHLCData{timestamp=2021-03-25T04:00, open=116.860, high=119.010, low=116.410, close=117.980, volume=1973035.0}
OHLCData{timestamp=2021-03-26T04:00, open=117.780, high=118.810, low=116.350, close=118.550, volume=1759358.0}
OHLCData{timestamp=2021-03-29T04:00, open=119.020, high=119.920, low=118.130, close=118.410, volume=1677388.0}
OHLCData{timestamp=2021-03-30T04:00, open=117.500, high=117.760, low=116.290, close=117.230, volume=1570501.0}
OHLCData{timestamp=2021-03-31T04:00, open=119.010, high=120.830, low=118.520, close=119.500, volume=1999126.0}
OHLCData{timestamp=2021-04-01T04:00, open=120.970, high=121.470, low=119.830, close=120.310, volume=1691635.0}
OHLCData{timestamp=2021-04-05T04:00, open=121.120, high=123.420, low=120.430, close=123.080, volume=1632971.0}
OHLCData{timestamp=2021-04-06T04:00, open=123.770, high=124.360, low=122.920, close=123.500, volume=1263346.0}
OHLCData{timestamp=2021-04-07T04:00, open=123.070, high=125.130, low=122.420, close=125.130, volume=1476965.0}
OHLCData{timestamp=2021-04-08T04:00, open=126.140, high=127.550, low=125.730, close=127.550, volume=1550992.0}
OHLCData{timestamp=2021-04-09T04:00, open=127.070, high=130.110, low=126.690, close=130.080, volume=1737607.0}
OHLCData{timestamp=2021-04-12T04:00, open=129.650, high=129.940, low=127.800, close=128.440, volume=1324533.0}
OHLCData{timestamp=2021-04-13T04:00, open=129.570, high=131.680, low=129.060, close=131.500, volume=910076.0}
OHLCData{timestamp=2021-04-14T04:00, open=132.020, high=132.070, low=128.850, close=129.270, volume=1189712.0}
OHLCData{timestamp=2021-04-15T04:00, open=130.940, high=132.060, low=130.750, close=131.530, volume=1129875.0}
OHLCData{timestamp=2021-04-16T04:00, open=131.430, high=131.740, low=130.400, close=131.240, volume=1112643.0}
OHLCData{timestamp=2021-04-19T04:00, open=130.640, high=132.520, low=130.440, close=131.960, volume=1409161.0}
OHLCData{timestamp=2021-04-20T04:00, open=132.110, high=132.590, low=129.000, close=130.220, volume=1646095.0}
OHLCData{timestamp=2021-04-21T04:00, open=129.480, high=130.820, low=128.490, close=130.590, volume=1124004.0}
OHLCData{timestamp=2021-04-22T04:00, open=129.970, high=131.230, low=128.570, close=129.110, volume=1468976.0}
OHLCData{timestamp=2021-04-23T04:00, open=129.360, high=132.180, low=129.360, close=131.390, volume=1362641.0}
OHLCData{timestamp=2021-04-26T04:00, open=131.900, high=132.130, low=130.660, close=131.770, volume=962141.0}
OHLCData{timestamp=2021-04-27T04:00, open=132.170, high=132.450, low=131.210, close=131.470, volume=997078.0}
OHLCData{timestamp=2021-04-28T04:00, open=131.450, high=132.080, low=130.200, close=130.770, volume=1680813.0}
OHLCData{timestamp=2021-04-29T04:00, open=133.580, high=134.080, low=129.600, close=130.570, volume=2694782.0}
OHLCData{timestamp=2021-04-30T04:00, open=128.940, high=130.650, low=128.220, close=128.580, volume=2095425.0}
OHLCData{timestamp=2021-05-03T04:00, open=129.170, high=131.150, low=128.970, close=129.670, volume=1367299.0}
OHLCData{timestamp=2021-05-04T04:00, open=128.500, high=128.620, low=123.950, close=125.180, volume=2286176.0}
OHLCData{timestamp=2021-05-05T04:00, open=126.400, high=127.600, low=125.200, close=125.290, volume=1125125.0}
OHLCData{timestamp=2021-05-06T04:00, open=125.080, high=126.920, low=124.390, close=126.920, volume=1428629.0}
OHLCData{timestamp=2021-05-07T04:00, open=128.260, high=128.590, low=126.890, close=127.640, volume=1079823.0}
OHLCData{timestamp=2021-05-10T04:00, open=126.880, high=126.940, low=124.290, close=124.390, volume=1410538.0}
OHLCData{timestamp=2021-05-11T04:00, open=121.020, high=123.730, low=120.330, close=123.330, volume=1763827.0}
OHLCData{timestamp=2021-05-12T04:00, open=120.880, high=122.140, low=119.800, close=120.250, volume=1600589.0}
OHLCData{timestamp=2021-05-13T04:00, open=122.110, high=123.600, low=121.780, close=122.440, volume=1626422.0}
OHLCData{timestamp=2021-05-14T04:00, open=123.790, high=125.310, low=123.320, close=124.800, volume=1224083.0}
OHLCData{timestamp=2021-05-17T04:00, open=124.290, high=124.370, low=122.660, close=123.660, volume=858488.0}
OHLCData{timestamp=2021-05-18T04:00, open=123.930, high=124.420, low=122.290, close=122.310, volume=1095265.0}
OHLCData{timestamp=2021-05-19T04:00, open=120.560, high=122.400, low=120.400, close=122.190, volume=1141558.0}
OHLCData{timestamp=2021-05-20T04:00, open=122.940, high=125.150, low=122.610, close=124.740, volume=1213108.0}
OHLCData{timestamp=2021-05-21T04:00, open=125.260, high=125.430, low=122.700, close=122.850, volume=1046298.0}
OHLCData{timestamp=2021-05-24T04:00, open=123.510, high=125.370, low=123.430, close=124.600, volume=1208122.0}
OHLCData{timestamp=2021-05-25T04:00, open=125.220, high=125.710, low=123.780, close=124.380, volume=906186.0}
OHLCData{timestamp=2021-05-26T04:00, open=124.370, high=124.820, low=123.890, close=124.300, volume=991622.0}
OHLCData{timestamp=2021-05-27T04:00, open=123.950, high=125.080, low=122.830, close=122.830, volume=1222450.0}
OHLCData{timestamp=2021-05-28T04:00, open=123.090, high=123.260, low=122.060, close=122.110, volume=1225776.0}
OHLCData{timestamp=2021-06-01T04:00, open=122.560, high=122.830, low=121.450, close=121.710, volume=1284942.0}
OHLCData{timestamp=2021-06-02T04:00, open=121.730, high=122.720, low=121.580, close=122.570, volume=951884.0}
OHLCData{timestamp=2021-06-03T04:00, open=122.100, high=122.340, low=120.660, close=121.090, volume=1137782.0}
OHLCData{timestamp=2021-06-04T04:00, open=121.520, high=123.620, low=121.370, close=123.340, volume=1035070.0}
OHLCData{timestamp=2021-06-07T04:00, open=123.660, high=123.770, low=122.330, close=123.370, volume=1401779.0}
OHLCData{timestamp=2021-06-08T04:00, open=124.110, high=125.870, low=123.690, close=124.190, volume=1308567.0}
OHLCData{timestamp=2021-06-09T04:00, open=124.660, high=125.160, low=123.980, close=124.600, volume=874225.0}
OHLCData{timestamp=2021-06-10T04:00, open=124.490, high=125.610, low=123.420, close=123.580, volume=2343213.0}
OHLCData{timestamp=2021-06-11T04:00, open=123.970, high=124.880, low=123.580, close=124.800, volume=936901.0}
OHLCData{timestamp=2021-06-14T04:00, open=125.220, high=127.860, low=124.530, close=127.860, volume=1588947.0}
OHLCData{timestamp=2021-06-15T04:00, open=127.400, high=127.970, low=126.800, close=127.190, volume=1116292.0}
OHLCData{timestamp=2021-06-16T04:00, open=127.760, high=128.260, low=125.900, close=127.470, volume=1423337.0}
OHLCData{timestamp=2021-06-17T04:00, open=127.210, high=129.890, low=127.060, close=129.100, volume=2063485.0}
OHLCData{timestamp=2021-06-18T04:00, open=128.050, high=128.860, low=127.680, close=127.790, volume=1808458.0}
OHLCData{timestamp=2021-06-21T04:00, open=127.720, high=129.740, low=126.630, close=129.590, volume=1516799.0}
OHLCData{timestamp=2021-06-22T04:00, open=129.430, high=131.380, low=128.990, close=131.300, volume=1426589.0}
OHLCData{timestamp=2021-06-23T04:00, open=131.130, high=131.610, low=130.560, close=130.990, volume=1169562.0}
OHLCData{timestamp=2021-06-24T04:00, open=131.730, high=131.920, low=130.260, close=130.740, volume=1346436.0}
OHLCData{timestamp=2021-06-25T04:00, open=130.780, high=131.180, low=130.140, close=130.480, volume=999801.0}
OHLCData{timestamp=2021-06-28T04:00, open=130.680, high=132.530, low=130.680, close=132.080, volume=1236447.0}
OHLCData{timestamp=2021-06-29T04:00, open=132.000, high=133.750, low=131.660, close=133.590, volume=2124840.0}
OHLCData{timestamp=2021-06-30T04:00, open=133.390, high=134.630, low=133.190, close=134.130, volume=1360610.0}
OHLCData{timestamp=2021-07-01T04:00, open=133.830, high=134.550, low=133.050, close=134.500, volume=1142155.0}
